SampleID,SiteID,RepID,Treatment,Date,Subsample,Experimenter,Moist.mass.g,NO3.ppm.1,NO3.ppm.2,NO3.ppm.3,mean.NO3,NH4.ppm.1,NH4.ppm.2,NH4.ppm.4,mean.NH4
23,BB,C,Dead,May-24,1,RA,11.0474,3.9789,3.943,4.0148,3.9789,1.2753,0.9636,1.302,1.1803
24,BB,C,Dead,May-24,2,RA,11.1446,3.8712,4.4095,4.4454,4.242033333,2.0368,2.0412,2.068,2.0487
25,BB,A,Interspace,May-24,1,RA,11.1591,3.4629,3.9986,4.0369,3.8328,0.1504,0.2565,0.2611,0.222666667
26,BB,A,Interspace,May-24,2,RA,11.0119,4.9169,5.4143,4.9934,5.1082,0.2288,0.2657,0.3211,0.271866667
27,BB,B,Interspace,May-24,1,RA,11.1974,4.6873,4.7256,4.4195,4.6108,0.0488,0.0627,0.1134,0.074966667
28,BB,B,Interspace,May-24,2,RA,11.0909,5.3378,7.3275,7.9397,6.868333333,0.0765,0.0258,0.0996,0.0673
29,BB,C,Interspace,May-24,1,RA,11.0117,5.6822,5.9117,5.4143,5.6694,0.0535,0.0904,0.1873,0.1104
30,BB,C,Interspace,May-24,2,RA,10.9891,5.1848,6.4092,5.3761,5.6567,0.1088,0.1411,0.1734,0.1411
31,BB,A,Live Rhizosphere,May-24,1,RA,10.987,1.2055,1.0907,1.3968,1.231,0.7825,0.8056,0.8056,0.7979
32,BB,A,Live Rhizosphere,May-24,2,RA,11.0624,1.5116,0.7846,0.8611,1.052433333,0.7641,0.7779,0.9071,0.816366667
33,BB,B,Live Rhizosphere,May-24,1,RA,11.0417,1.2437,1.1289,1.2055,1.1927,0.5103,0.5703,0.538,0.539533333
34,BB,B,Live Rhizosphere,May-24,2,RA,11.2468,1.1672,1.0141,0.8611,1.014133333,0.5195,0.5795,0.6164,0.5718
35,BB,C,Live Rhizosphere,May-24,1,RA,11.0694,0.555,0.4402,0.2106,0.401933333,0.3534,0.3765,0.3811,0.370333333
36,BB,C,Live Rhizosphere,May-24,2,RA,11.0551,2.009,2.1238,2.009,2.047266667,0.4088,0.4226,0.4226,0.418
37,CR,A,Dead,May-24,1,RA,10.9438,14.3678,16.0513,15.2478,15.2223,2.8313,2.9374,2.8682,2.878966667
38,CR,A,Dead,May-24,2,RA,11.1262,12.2251,13.0668,13.8321,13.04133333,2.9282,2.8313,2.9974,2.918966667
39,CR,B,Dead,May-24,1,RA,11.1713,8.3223,4.8021,4.7639,5.962766667,1.9823,2.1899,1.9869,2.053033333
40,CR,B,Dead,May-24,2,RA,11.2242,6.8683,7.6336,7.7483,7.416733333,2.7713,2.9651,2.7944,2.8436
41,CR,C,Dead,May-24,1,RA,11.1617,7.404,7.4422,7.6718,7.506,3.0205,3.2789,3.3204,3.2066
42,CR,C,Dead,May-24,2,RA,11.044,8.2458,8.0927,8.5519,8.2968,3.3573,3.3573,3.4727,3.395766667
43,CR,A,Interspace,May-24,1,RA,11.2325,1.435,1.435,1.9707,1.613566667,0.4041,0.478,0.5287,0.470266667
44,CR,A,Interspace,May-24,2,RA,11.11,1.6646,1.282,1.3585,1.435033333,0.3534,0.3995,0.4226,0.391833333
45,CR,B,Interspace,May-24,1,RA,11.1313,2.0855,2.3533,2.6212,2.353333333,0.01,0.01,0.01,0.01
46,CR,B,Interspace,May-24,2,RA,11.2208,2.3151,2.3151,2.4681,2.3661,0.01,0.01,0.01,0.01
47,CR,C,Interspace,May-24,1,RA,11.2401,1.3585,1.1672,0.708,1.0779,0.01,0.01,0.01,0.01
48,CR,C,Interspace,May-24,2,RA,11.0724,0.9759,0.5933,0.9376,0.8356,0.01,0.01,0.01,0.01
49,CR,A,Live Rhizosphere,May-24,1,RA,11.1283,5.3874,5.2417,5.1689,5.266,0.01,0.1483,0.1103,0.089533333
50,CR,A,Live Rhizosphere,May-24,2,RA,11.0326,12.0885,11.5786,11.5786,11.74856667,0.0865,0.039,0.1435,0.089666667
51,CR,B,Live Rhizosphere,May-24,1,RA,11.135,12.6712,11.9064,11.6515,12.07636667,0.0627,0.0485,0.0342,0.048466667
52,CR,B,Live Rhizosphere,May-24,2,RA,11.0584,14.7107,14.2372,14.4193,14.45573333,0.1055,0.0817,0.0865,0.091233333
53,CR,C,Live Rhizosphere,May-24,1,RA,10.9894,14.7471,14.0915,14.6378,14.49213333,0.3811,0.3336,0.3716,0.3621
54,CR,C,Live Rhizosphere,May-24,2,RA,11.0676,14.7835,14.3829,14.1644,14.4436,0.2718,0.286,0.267,0.274933333
55,HG,A,Dead,May-24,1,RA,11.1128,1.9276,1.6362,1.527,1.696933333,1.5641,1.5879,1.5546,1.568866667
56,HG,A,Dead,May-24,2,RA,11.1367,2.2189,1.9276,1.8547,2.0004,1.8207,1.8919,1.8682,1.860266667
57,HG,B,Dead,May-24,1,RA,11.0587,2.838,2.7288,2.7652,2.777333333,1.8729,1.7637,1.7969,1.811166667
58,HG,B,Dead,May-24,2,RA,11.0643,2.6195,2.5467,2.5103,2.558833333,2.006,1.9775,1.9775,1.987
59,HG,C,Dead,May-24,1,RA,11.1445,1.5634,1.527,1.527,1.539133333,1.8207,2.0012,2.0487,1.956866667
60,HG,C,Dead,May-24,2,RA,11.1701,1.6726,1.8911,1.4905,1.684733333,1.8349,1.6401,1.8824,1.7858
61,HG,A,Interspace,May-24,1,RA,11.0696,3.093,3.0566,2.9837,3.044433333,0.01,0.01,0.01,0.01
62,HG,A,Interspace,May-24,2,RA,11.1275,2.7288,2.9109,2.838,2.8259,0.0485,0.0247,0.0627,0.0453
63,HG,B,Interspace,May-24,1,RA,11.1521,5.351,5.8608,4.2948,5.168866667,0.5094,0.4998,0.5474,0.518866667
64,HG,B,Interspace,May-24,2,RA,11.1955,3.2022,3.0566,3.0566,3.105133333,0.4001,0.4381,0.4143,0.4175
65,HG,C,Interspace,May-24,1,RA,10.9858,2.1097,2.1825,2.2553,2.1825,0.0295,0.0342,0.0295,0.031066667
66,HG,C,Interspace,May-24,2,RA,11.0121,2.0004,2.0004,2.1461,2.048966667,0.0722,0.039,0.0675,0.059566667
67,HG,A,Live Rhizosphere,May-24,1,RA,10.963,8.7015,8.1552,8.7379,8.531533333,0.1673,0.1578,0.2005,0.1752
68,HG,A,Live Rhizosphere,May-24,2,RA,11.1233,8.7015,8.7379,8.6651,8.7015,0.1815,0.153,0.1625,0.165666667
69,HG,B,Live Rhizosphere,May-24,1,RA,11.0612,7.9367,7.3904,7.4633,7.5968,0.115,0.1958,0.1008,0.1372
70,HG,B,Live Rhizosphere,May-24,2,RA,11.0173,8.6287,8.2281,8.5194,8.458733333,0.0485,0.1198,0.0912,0.0865
71,HG,C,Live Rhizosphere,May-24,1,RA,11.1541,9.8305,9.4663,9.5027,9.599833333,0.191,0.1958,0.2243,0.2037
72,HG,C,Live Rhizosphere,May-24,2,RA,10.9552,9.1021,8.8472,8.8472,8.932166667,0.0152,0.0437,0.058,0.038966667
73,HR,A,Dead,May-24,1,RA,11.0364,2.9334,2.8616,2.5741,2.7897,2.9872,3.127,3.2109,3.108366667
74,HR,A,Dead,May-24,2,RA,11.1851,2.8256,2.7178,2.6459,2.729766667,3.155,3.2557,3.2277,3.2128
75,HR,B,Dead,May-24,1,RA,11.0201,6.9944,6.9585,6.9226,6.9585,4.7487,4.7431,4.9891,4.826966667
76,HR,B,Dead,May-24,2,RA,11.0964,6.7788,7.1382,6.9944,6.970466667,4.9276,4.497,4.8773,4.7673
77,HR,C,Dead,May-24,1,RA,11.1191,2.3584,2.3584,2.3944,2.3704,2.2659,2.3442,2.3721,2.3274
78,HR,C,Dead,May-24,2,RA,11.125,2.3584,2.4663,2.4303,2.418333333,2.3665,2.333,2.4392,2.379566667
79,HR,A,Interspace,May-24,1,RA,11.0053,4.9819,4.6585,4.7304,4.790266667,0.0739,0.0851,0.1969,0.118633333
80,HR,A,Interspace,May-24,2,RA,11.0005,4.0116,4.2632,3.5085,3.927766667,0.1913,0.1857,0.2808,0.219266667
81,HR,B,Interspace,May-24,1,RA,11.1791,3.8319,3.7241,3.8319,3.795966667,0.5101,0.5101,0.5995,0.5399
82,HR,B,Interspace,May-24,2,RA,11.0704,3.0772,3.1131,3.1491,3.113133333,0.6331,0.6331,0.5492,0.605133333
83,HR,C,Interspace,May-24,1,RA,11.0605,2.61,2.6459,2.5022,2.586033333,0.113,0.1018,0.0795,0.0981
84,HR,C,Interspace,May-24,2,RA,11.0896,2.9694,2.7897,2.6819,2.813666667,0.0907,0.1186,0.1298,0.113033333
85,HR,A,Live Rhizosphere,May-24,1,RA,11.1653,5.0897,4.91,4.6585,4.886066667,0.2361,0.1857,0.2584,0.226733333
86,HR,A,Live Rhizosphere,May-24,2,RA,11.0704,5.0179,4.9819,4.6944,4.898066667,0.0515,0.0963,0.0851,0.077633333
87,HR,B,Live Rhizosphere,May-24,1,RA,11.046,12.0258,11.7023,11.7023,11.81013333,0.3814,0.5268,0.4597,0.455966667
88,HR,B,Live Rhizosphere,May-24,2,RA,11.209,12.2414,12.1336,12.3133,12.22943333,0.3647,0.3814,0.3982,0.381433333
89,HR,C,Live Rhizosphere,May-24,1,RA,11.1514,4.371,4.2632,4.2632,4.299133333,0.0012,0.0515,0.0124,0.0217
90,HR,C,Live Rhizosphere,May-24,2,RA,11.1336,4.0475,3.9397,4.1913,4.0595,0.018,0.0683,0.0459,0.044066667
91,NG,A,Dead,May-24,1,RA,11.1593,3.5444,3.6163,3.9038,3.688166667,1.5669,1.6732,1.7179,1.652666667
92,NG,A,Dead,May-24,2,RA,11.1746,4.4788,2.8616,2.9334,3.4246,1.7179,1.6396,1.6508,1.669433333
93,NG,B,Dead,May-24,1,RA,11.0122,5.3054,5.1616,5.3054,5.257466667,2.8922,2.4225,2.1932,2.502633333
94,NG,B,Dead,May-24,2,RA,11.0752,5.0179,4.6585,5.0538,4.910066667,2.3777,2.3386,2.2994,2.338566667
95,NG,C,Dead,May-24,1,RA,11.0461,2.8616,2.7897,3.221,2.957433333,1.511,2.1429,1.7067,1.786866667
96,NG,C,Dead,May-24,2,RA,11.1096,4.6225,4.4428,4.7663,4.610533333,2.0254,2.3386,2.2994,2.221133333
97,NG,A,Interspace,May-24,1,RA,11.17,3.1484,2.9007,2.83,2.9597,0.0749,0.0942,0.046,0.0717
98,NG,A,Interspace,May-24,2,RA,11.0834,2.9361,2.7238,2.6884,2.782766667,0.0412,0.0316,0.0508,0.0412
99,NG,B,Interspace,May-24,1,RA,10.9457,2.3346,2.0869,2.1223,2.181266667,0.01,0.01,0.01,0.01
100,NG,B,Interspace,May-24,2,RA,11.0481,1.9099,1.9099,1.9807,1.9335,0.01,0.01,0.01,0.01
101,NG,C,Interspace,May-24,1,RA,11.1372,4.0684,3.8561,4.3515,4.092,0.0797,0.1231,0.152,0.118266667
102,NG,C,Interspace,May-24,2,RA,11.0095,3.9269,3.7854,3.8561,3.856133333,0.1664,0.1375,0.1616,0.155166667
103,NG,A,Live Rhizosphere,May-24,1,RA,11.2106,6.687,6.7931,6.7223,6.734133333,0.0653,0.0364,0.0846,0.0621
104,NG,A,Live Rhizosphere,May-24,2,RA,11.1587,5.9085,5.3777,5.4131,5.566433333,0.0075,0.01,0.01,0.009166667
105,NG,B,Live Rhizosphere,May-24,1,RA,11.1332,5.3423,5.1654,5.6254,5.3777,0.1231,0.1953,0.335,0.2178
106,NG,B,Live Rhizosphere,May-24,2,RA,11.0381,2.6884,3.0423,2.9007,2.877133333,0.1616,0.1038,0.0797,0.115033333
107,NG,C,Live Rhizosphere,May-24,1,RA,11.0704,3.0069,3.2546,3.113,3.124833333,0.2001,0.2868,0.229,0.238633333
108,NG,C,Live Rhizosphere,May-24,2,RA,11.0787,4.9531,4.7762,5.1654,4.9649,0.2772,0.2146,0.1905,0.227433333
109,RC,A,Dead,May-24,1,RA,11.0778,3.8561,3.7854,4.21,3.9505,0.8455,0.7781,0.7877,0.803766667
110,RC,A,Dead,May-24,2,RA,11.0538,4.3869,4.7408,4.5992,4.575633333,0.5228,0.5084,0.4988,0.51
111,RC,B,Dead,May-24,1,RA,11.1864,3.0423,2.9007,2.9007,2.9479,0.5758,0.6095,0.6144,0.5999
112,RC,B,Dead,May-24,2,RA,11.1255,3.4669,3.3607,3.4669,3.4315,0.4554,0.5228,0.518,0.498733333
113,RC,C,Dead,May-24,1,RA,11.0815,6.1208,6.1208,6.3685,6.203366667,1.1971,0.9948,0.8937,1.028533333
114,RC,C,Dead,May-24,2,RA,11.0833,5.13,5.3069,5.5546,5.3305,0.9274,1.1875,0.9274,1.0141
115,RC,A,Interspace,May-24,1,RA,11.0983,4.7054,5.0946,5.2008,5.000266667,0.0171,0.0075,0.0268,0.017133333
116,RC,A,Interspace,May-24,2,RA,11.2389,4.8823,4.9885,5.2715,5.047433333,0.2242,0.0412,0.1183,0.1279
117,RC,B,Interspace,May-24,1,RA,11.0479,3.5731,3.7146,4.21,3.832566667,0.0027,0.01,0.01,0.007566667
118,RC,B,Interspace,May-24,2,RA,11.0658,3.5731,3.8561,3.7854,3.7382,0.01,0.01,0.01,0.01
119,RC,C,Interspace,May-24,1,RA,11.2297,2.7592,3.1838,3.3607,3.101233333,0.01,0.01,0.01,0.01
120,RC,C,Interspace,May-24,2,RA,11.0515,3.9269,3.8915,4.1746,3.997666667,0.01,0.01,0.01,0.01
121,RC,A,Live Rhizosphere,May-24,1,RA,11.1083,4.4932,4.4932,4.4932,4.4932,0.248,0.2798,0.2905,0.272766667
122,RC,A,Live Rhizosphere,May-24,2,RA,11.0236,4.8771,4.6084,4.4932,4.659566667,0.2374,0.2852,0.2692,0.263933333
123,RC,B,Live Rhizosphere,May-24,1,RA,11.1965,3.188,3.3416,3.5335,3.354366667,0.0411,0.0836,0.1472,0.090633333
124,RC,B,Live Rhizosphere,May-24,2,RA,11.1853,3.9174,2.8809,3.4184,3.405566667,0.126,0.1154,0.2268,0.156066667
125,RC,C,Live Rhizosphere,May-24,1,RA,11.0321,7.4491,7.5643,7.4875,7.5003,0.248,0.3117,0.3276,0.295766667
126,RC,C,Live Rhizosphere,May-24,2,RA,11.1473,6.5662,6.2975,6.5278,6.463833333,0.126,0.1207,0.2162,0.1543
127,SR,A,Dead,May-24,1,RA,11.0112,3.6871,3.3416,3.6871,3.571933333,1.5001,1.4629,1.4364,1.466466667
128,SR,A,Dead,May-24,2,RA,10.9916,3.5719,3.3416,3.4567,3.456733333,1.8661,1.6486,1.7972,1.770633333
129,SR,B,Dead,May-24,1,RA,11.0166,2.9961,3.1113,3.38,3.162466667,1.3993,1.2985,1.3621,1.3533
130,SR,B,Dead,May-24,2,RA,11.1618,2.9961,2.9193,3.5719,3.162433333,1.3356,1.3144,1.3091,1.3197
131,SR,C,Dead,May-24,1,RA,11.247,3.2264,3.188,3.2648,3.2264,2.2799,1.9033,2.073,2.0854
132,SR,C,Dead,May-24,2,RA,11.071,3.2264,3.1496,3.3416,3.2392,2.2322,1.7017,1.9351,1.956333333
133,SR,A,Interspace,May-24,1,RA,11.1177,2.7658,2.7274,2.8809,2.791366667,0.1472,0.0729,0.1048,0.1083
134,SR,A,Interspace,May-24,2,RA,11.1376,1.1534,2.6506,2.7658,2.189933333,0.0942,0.0517,0.0517,0.065866667
135,SR,B,Interspace,May-24,1,RA,11.0806,2.2667,2.1899,2.3051,2.2539,0.0782,0.0146,0.004,0.032266667
136,SR,B,Interspace,May-24,2,RA,11.1062,2.1132,2.1515,2.1515,2.138733333,0.2798,0.01,0.01,0.099933333
137,SR,C,Interspace,May-24,1,RA,11.0719,2.2283,2.8809,2.7274,2.6122,0.01,0.01,0.01,0.01
138,SR,C,Interspace,May-24,2,RA,11.0432,1.998,2.3819,2.8041,2.394666667,0.01,0.01,0.01,0.01
139,SR,A,Live Rhizosphere,May-24,1,RA,11.0125,2.9193,2.8041,3.1113,2.9449,0.1419,0.0464,0.0623,0.083533333
140,SR,A,Live Rhizosphere,May-24,2,RA,11.0052,3.4951,3.188,3.6103,3.431133333,0.2639,0.1419,0.1578,0.187866667
141,SR,B,Live Rhizosphere,May-24,1,RA,11.0277,2.8041,2.8041,3.2648,2.957666667,0.0623,0.0252,0.057,0.048166667
142,SR,B,Live Rhizosphere,May-24,2,RA,11.1426,2.7658,2.9193,2.8809,2.855333333,0.0517,0.057,0.004,0.037566667
143,SR,C,Live Rhizosphere,May-24,1,RA,11.0025,3.8406,3.6871,4.4165,3.9814,0.2639,0.2533,0.2958,0.271
144,SR,C,Live Rhizosphere,May-24,2,RA,11.0169,3.9174,4.071,4.3013,4.096566667,0.2852,0.2692,0.2427,0.2657
145,TI,B,Dead,May-24,2,RA,11.1023,5.208,5.5855,5.3212,5.371566667,1.7946,1.7888,1.6784,1.753933333
146,TI,C,Dead,May-24,1,RA,11.2224,10.9835,11.0212,10.9835,10.99606667,1.5621,1.5621,1.4923,1.538833333
147,TI,C,Dead,May-24,2,RA,11.1076,10.1152,10.0775,10.1152,10.10263333,1.5156,1.4982,1.44,1.4846
148,TI,A,Interspace,May-24,1,RA,11.0751,3.3206,2.8676,2.7921,2.993433333,0.6494,0.5622,0.5215,0.5777
149,TI,A,Interspace,May-24,2,RA,11.1565,2.4524,2.4146,2.6788,2.515266667,0.4924,0.4982,0.6494,0.546666667
150,TI,B,Interspace,May-24,1,RA,11.1806,3.6981,3.6981,3.5093,3.635166667,0.2541,0.3006,0.4168,0.323833333
151,TI,B,Interspace,May-24,2,RA,11.1154,4.0755,3.9623,3.8868,3.974866667,0.0913,0.132,0.2192,0.1475
152,TI,C,Interspace,May-24,1,RA,11.1295,6.8689,4.5663,4.302,5.245733333,0.4226,0.3936,0.4285,0.4149
153,TI,C,Interspace,May-24,2,RA,11.1492,4.0378,3.8868,3.9623,3.9623,0.4982,0.4692,0.568,0.5118
154,TI,A,Live Rhizosphere,May-24,1,RA,10.9699,4.7927,4.9815,5.0192,4.931133333,0.1901,0.1901,0.2541,0.211433333
155,TI,B,Live Rhizosphere,May-24,1,RA,11.2061,38.4264,38.1999,38.5774,38.40123333,0.3587,0.3413,0.3413,0.3471
156,TI,C,Live Rhizosphere,May-24,1,RA,11.2064,14.343,14.1921,14.2676,14.26756667,0.4168,0.382,0.3471,0.381966667
157,OH,A,Dead,May-24,1,RA,11.1559,10.1907,10.1907,9.7,10.02713333,4.4979,4.4631,4.184,4.381666667
158,OH,A,Dead,May-24,2,RA,11.0186,10.2285,9.8133,10.0398,10.0272,5.2072,4.9688,5.0154,5.0638
159,OH,B,Dead,May-24,1,RA,11.0718,19.1371,18.7218,19.1371,18.99866667,4.3817,4.2015,4.1143,4.2325
160,OH,B,Dead,May-24,2,RA,11.156,17.3629,16.9477,17.0609,17.12383333,4.0503,4.0038,3.7538,3.935966667
161,OH,C,Dead,May-24,1,RA,11.2428,8.8318,8.8318,8.5676,8.743733333,4.87,4.2712,3.748,4.2964
162,OH,C,Dead,May-24,2,RA,11.1185,9.4358,8.8696,8.5298,8.945066667,4.1375,3.8643,3.8526,3.951466667
163,OH,A,Interspace,May-24,1,RA,11.2067,4.5285,4.453,4.604,4.5285,0.5505,0.4808,0.4401,0.490466667
164,OH,A,Interspace,May-24,2,RA,11.1132,4.906,4.7927,5.0192,4.905966667,0.6959,0.6436,0.6087,0.6494
165,OH,B,Interspace,May-24,1,RA,11.1126,2.9808,2.8298,3.3583,3.0563,0.411,0.2599,0.2134,0.294766667
166,OH,B,Interspace,May-24,2,RA,11.0758,2.8298,3.0186,3.0186,2.955666667,0.4343,0.2366,0.1669,0.279266667
167,OH,C,Interspace,May-24,1,RA,11.1228,6.4914,6.5292,6.1517,6.390766667,0.9226,0.7831,0.6901,0.7986
168,OH,C,Interspace,May-24,2,RA,11.0476,6.6047,7.0954,6.7557,6.8186,1.0621,0.9226,0.7715,0.918733333
169,OH,A,Live Rhizosphere,May-24,1,RA,11.2473,4.2959,4.3354,4.1773,4.269533333,0.0357,0.0876,0.076,0.066433333
170,OH,A,Live Rhizosphere,May-24,2,RA,11.0701,3.9797,4.0983,4.0983,4.058766667,0.0185,0.03,0.0818,0.043433333
171,OH,B,Live Rhizosphere,May-24,1,RA,11.0682,12.6365,12.4784,12.2017,12.43886667,0.2085,0.22,0.2776,0.235366667
172,OH,B,Live Rhizosphere,May-24,2,RA,11.1832,14.02,14.02,14.02,14.02,0.1164,0.22,0.3179,0.2181
173,OH,C,Live Rhizosphere,May-24,1,RA,11.1135,9.0394,8.6836,8.7231,8.815366667,0.2949,0.3064,0.3928,0.331366667
174,OH,C,Live Rhizosphere,May-24,2,RA,11.076,9.909,9.9485,9.6323,9.829933333,0.2373,0.3064,0.531,0.358233333
175,TI,A,Live Rhizosphere,May-24,2,RA,11.1572,5.6004,5.5608,5.719,5.626733333,0.0703,0.1336,0.1624,0.1221
176,TI,B,LIve Rhizosphere,May-24,2,RA,11.0281,37.7373,33.4287,35.5237,35.56323333,0.1394,0.174,0.2719,0.1951
177,TI,C,LIve Rhizosphere,May-24,2,RA,10.999,14.3362,15.0082,14.8897,14.7447,0.0933,0.1048,0.0473,0.0818
178,TI,A,Dead,May-24,1,RA,11.2058,15.7198,16.8661,16.5894,16.39176667,1.4986,1.5792,1.4007,1.492833333
179,TI,A,Dead,May-24,2,RA,11.1424,16.5894,16.6289,16.3917,16.53666667,1.585,1.5216,1.3431,1.483233333
180,TI,B,Dead,May-24,1,RA,11.0597,5.6794,5.2051,5.3632,5.4159,1.6253,1.585,1.3085,1.506266667
