SampleID,SiteID,RepID,Treatment,Date,Subsample,Experimenter,Moist.soil.mass,Vol.DI.added,pH.1,pH.2,pH.3,pH.avg
26,BB,A,Interspace,5/2024,2,RA,5.1104,10.8673,6.53,6.22,6.05,6.266666667
27,BB,B,Interspace,5/2024,1,RA,5.1555,10.6255,6.15,5.82,5.69,5.886666667
28,BB,B,Interspace,5/2024,2,RA,5.2093,10.4229,6.14,5.87,5.76,5.923333333
29,BB,C,Interspace,5/2024,1,SF,5.065,10.1105,5.86,5.88,5.85,5.863333333
30,BB,C,Interspace,5/2024,2,SF,5,9.9984,5.87,5.88,5.89,5.88
31,BB,A,Live Rhizosphere,5/2024,1,RA,5.1321,10.0091,7.27,7.09,6.99,7.116666667
32,BB,A,Live Rhizosphere,5/2024,2,RA,5.0352,10.093,7.16,7.01,6.94,7.036666667
33,BB,B,Live Rhizosphere,5/2024,1,RA,4.9203,10.2743,7.41,7.18,7.1,7.23
34,BB,B,Live Rhizosphere,5/2024,2,RA,5.177,10.5587,7.34,7.14,7.06,7.18
35,BB,C,Live Rhizosphere,5/2024,1,RA,5.2581,10.3907,7.64,7.43,7.33,7.466666667
36,BB,C,Live Rhizosphere,5/2024,2,RA,5.1354,10.5744,7.61,7.38,7.34,7.443333333
37,CR,A,Dead,5/2024,1,SF,4.9939,10.0353,6.28,6.3,6.38,6.32
38,CR,A,Dead,5/2024,2,SF,4.992,10.23,6.4,6.42,6.42,6.413333333
39,CR,h,Dead,5/2024,1,SF,5.0038,10.0103,6.59,6.6,6.63,6.606666667
40,CR,B,Dead,5/2024,2,SF,5.0204,10.0294,6.63,6.64,6.64,6.636666667
41,CR,C,Dead,5/2024,1,SF/HL,5.0686,10.1629,6.15,6.27,6.3,6.24
42,CR,C,Dead,5/2024,2,SF/HL,5.1053,10.1694,6.26,6.28,6.29,6.276666667
43,CR,A,Interspace,5/2024,1,SF/HL,5.0813,10.1577,6.29,6.39,6.4,6.36
44,CR,A,Interspace,5/2024,2,SF/HL,5.0105,10.0484,6.36,6.38,6.26,6.333333333
45,CR,B,Interspace,5/2024,1,SF,5.0152,10.0691,6.34,6.22,6.26,6.273333333
46,CR,B,Interspace,5/2024,2,SF,5.0785,10.1726,6.33,6.28,6.35,6.32
47,CR,C,Interspace,5/2024,1,SF,4.9962,10.0203,6.31,6.22,6.22,6.25
48,CR,C,Interspace,5/2024,2,SF,4.9997,10.0209,6.26,6.21,6.19,6.22
49,CR,A,Live Rhizosphere,5/2024,1,SF,4.9926,10.3781,6.56,6.43,6.42,6.47
50,CR,A,Live Rhizosphere,5/2024,2,SF,5.0459,10.1811,6.54,6.41,6.49,6.48
51,CR,B,Live Rhizosphere,5/2024,1,SF,5.0464,10.0779,6.91,6.84,6.86,6.87
52,CR,B,Live Rhizosphere,5/2024,2,SF,5.0037,10.2359,6.63,6.84,6.88,6.783333333
53,CR,C,Live Rhizosphere,5/2024,1,SF,5.1213,10.1972,6.79,6.82,6.75,6.786666667
54,CR,C,Live Rhizosphere,5/2024,2,SF,5.0112,10.2646,6.87,6.83,6.75,6.816666667
55,HG,A,Dead,5/2024,1,HL,4.998,10.0201,6.63,6.71,6.74,6.693333333
56,HG,A,Dead,5/2024,2,HL,5.0231,10.0562,6.71,6.75,6.77,6.743333333
57,HG,B,Dead,5/2024,1,HL,5.1219,10.2446,6.82,6.85,6.86,6.843333333
58,HG,B,Dead,5/2024,2,HL,4.9131,10.1882,6.84,6.86,6.87,6.856666667
59,HG,C,Dead,5/2024,1,HL,5.023,10.05,7.01,7.05,7.08,7.046666667
60,HG,C,Dead,5/2024,2,HL,5.1358,9.9638,7.12,7.15,7.17,7.146666667
61,HG,A,Interspace,5/2024,1,HL,5.1183,10.0723,6.03,6.05,6.05,6.043333333
62,HG,A,Interspace,5/2024,2,HL,5.0315,10.1168,5.97,6.01,6.04,6.006666667
63,HG,B,Interspace,5/2024,1,SF,4.9981,10.0191,6.2,6.24,6.2,6.213333333
64,HG,B,Interspace,5/2024,2,SF,5.0129,10.0084,6.26,6.18,6.16,6.2
65,HG,C,Interspace,5/2024,1,SF,5.0075,10.0154,6.45,6.42,6.39,6.42
66,HG,C,Interspace,5/2024,2,SF,5.0097,10.0754,6.51,6.4,6.41,6.44
67,HG,A,Live Rhizosphere,5/2024,1,SF,5.0199,10.0648,6.38,6.36,6.33,6.356666667
68,HG,A,Live Rhizosphere,5/2024,2,SF,5.014,10.0381,6.34,6.44,6.4,6.393333333
69,HG,B,Live Rhizosphere,5/2024,1,SF,5.0111,10.0287,6.28,6.28,6.26,6.273333333
70,HG,B,Live Rhizosphere,5/2024,2,SF,5.0508,10.0983,6.31,6.27,6.26,6.28
71,HG,C,Live Rhizosphere,5/2024,1,SF,5.0497,10.1286,6.08,6.08,6.13,6.096666667
72,HG,C,Live Rhizosphere,5/2024,2,SF,5.0009,9.998,6.1,6.17,6.15,6.14
73,HR,A,Dead,5/2024,1,RA,5.0296,10.5031,6.33,6.33,6.27,6.31
74,HR,A,Dead,5/2024,2,RA,5.1145,10.5006,6.18,6.14,6.23,6.183333333
75,HR,B,Dead,5/2024,1,RA,5.1915,10.0235,5.95,5.89,5.94,5.926666667
76,HR,B,Dead,5/2024,2,RA,5.0244,10.4419,5.92,5.9,5.89,5.903333333
77,HR,C,Dead,5/2024,1,RA,5.2756,10.0616,6.54,6.44,6.3,6.426666667
78,HR,C,Dead,5/2024,2,RA,5.2801,10.3922,6.32,6.28,6.22,6.273333333
79,HR,A,Interspace,5/2024,1,RA,5.1921,10.4491,6.63,6.39,6.3,6.44
80,HR,A,Interspace,5/2024,2,RA,5.2181,9.969,6.43,6.42,6.42,6.423333333
81,HR,B,Interspace,5/2024,1,RA,5.1548,10.0206,6.15,6.08,6.13,6.12
82,HR,B,Interspace,5/2024,2,RA,5.2917,10.0004,6.1,6.05,6.04,6.063333333
83,HR,C,Interspace,5/2024,1,RA,5.0838,10.2957,6.59,6.22,6.03,6.28
84,HR,C,Interspace,5/2024,2,RA,5.2671,10.1255,6.41,6.38,6.39,6.393333333
85,HR,A,Live Rhizosphere,5/2024,1,RA,5.2112,10.3098,6.62,6.6,6.63,6.616666667
86,HR,A,Live Rhizosphere,5/2024,2,RA,5.0666,10.8009,6.65,6.59,6.57,6.603333333
87,HR,B,Live Rhizosphere,5/2024,1,RA,5.0405,10.2558,6.82,6.41,6.31,6.513333333
88,HR,B,Live Rhizosphere,5/2024,2,RA,5.0704,10.3019,6.58,6.48,6.49,6.516666667
89,HR,C,Live Rhizosphere,5/2024,1,RA,4.9876,10.2646,6.56,6.52,6.46,6.513333333
90,HR,C,Live Rhizosphere,5/2024,2,RA,5.1412,10.7159,6.52,6.43,6.48,6.476666667
91,NG,A,Dead,5/2024,1,SF,5.109,5.142,6.73,6.87,6.9,6.833333333
92,NG,A,Dead,5/2024,2,SF,4.992,4.979,6.83,6.92,6.94,6.896666667
93,NG,B,Dead,5/2024,1,SF,5.01,5.094,6.87,6.87,6.89,6.876666667
94,NG,B,Dead,5/2024,2,SF,5.056,5.035,6.87,6.87,6.88,6.873333333
95,NG,C,Dead,5/2024,1,SF,5.074,5.111,6.73,6.75,6.77,6.75
96,NG,C,Dead,5/2024,2,SF,4.964,4.929,6.71,6.75,6.76,6.74
97,NG,A,Interspace,5/2024,1,SF,5.019,10.123,7.18,7.24,7.24,7.22
98,NG,A,Interspace,5/2024,2,SF,5.079,10.191,7.16,7.16,7.26,7.193333333
99,NG,B,Interspace,5/2024,1,SF,5.008,10.076,7.21,7.2,7.23,7.213333333
100,NG,B,Interspace,5/2024,2,SF,5.023,10.67,7.28,7.33,7.3,7.303333333
101,NG,C,Interspace,5/2024,1,SF,4.995,10.0996,7.33,7.4,7.42,7.383333333
102,NG,C,Interspace,5/2024,2,SF,5.091,10.1493,7.45,7.46,7.51,7.473333333
103,NG,A,Live Rhizosphere,5/2024,1,SF,5.056,5.248,6.96,7.08,7.11,7.05
104,NG,A,Live Rhizosphere,5/2024,2,SF,4.991,10.03,7.06,7.08,7.07,7.07
105,NG,B,Live Rhizosphere,5/2024,1,SF,5.04,5.092,7.03,7.05,7.11,7.063333333
106,NG,B,Live Rhizosphere,5/2024,2,SF,5,10.479,7.01,6.92,7,6.976666667
107,NG,C,Live Rhizosphere,5/2024,1,SF,4.969,4.999,6.98,6.98,6.98,6.98
108,NG,C,Live Rhizosphere,5/2024,2,SF,5.084,10.161,6.89,6.85,6.92,6.886666667
109,RC,A,Dead,5/2024,1,RA,5.0462,10.0329,8.08,7.76,7.59,7.81
110,RC,A,Dead,5/2024,2,RA,5.009,10.5989,8.19,7.69,7.59,7.823333333
111,RC,B,Dead,5/2024,1,RA,5.0254,10.0628,8.91,8.61,8.51,8.676666667
112,RC,B,Dead,5/2024,2,RA,4.9861,10.2995,8.71,8.48,8.42,8.536666667
113,RC,C,Dead,5/2024,1,RA,5.0036,10.3372,7.96,7.97,7.53,7.82
114,RC,C,Dead,5/2024,2,RA,5.007,10.1377,7.97,7.76,7.73,7.82
115,RC,A,Interspace,5/2024,1,RA,5.0015,10.4037,8.29,8.25,8.25,8.263333333
116,RC,A,Interspace,5/2024,2,RA,5.1031,10.4313,8.39,8.33,8.23,8.316666667
117,RC,B,Interspace,5/2024,1,RA,5.0424,10.0327,9.39,9.37,9.37,9.376666667
118,RC,B,Interspace,5/2024,2,RA,5.0206,10.3961,9.43,9.4,9.4,9.41
119,RC,C,Interspace,5/2024,1,RA,5.2363,10.6837,9.39,9.34,9.31,9.346666667
120,RC,C,Interspace,5/2024,2,RA,5.0053,10.2089,9.34,9.31,9.28,9.31
121,RC,A,Live Rhizosphere,5/2024,1,RA,5.1622,10.8839,8.28,7.4,7.42,7.7
122,RC,A,Live Rhizosphere,5/2024,2,RA,5.0454,10.069,8.2,7.67,7.4,7.756666667
123,RC,B,Live Rhizosphere,5/2024,1,RA,5.112,9.9792,8.98,8.55,8.5,8.676666667
124,RC,B,Live Rhizosphere,5/2024,2,RA,5.1483,10.2079,8.58,8.5,8.4,8.493333333
125,RC,C,Live Rhizosphere,5/2024,1,RA,5.028,11.0615,8.32,8.57,8.11,8.333333333
126,RC,C,Live Rhizosphere,5/2024,2,RA,5.0261,10.4229,8.44,8.22,8.12,8.26
127,SR,A,Dead,5/2024,1,RA,5.0214,10.2761,7.33,7.39,7.39,7.37
128,SR,A,Dead,5/2024,2,RA,5.0615,10.2792,7.4,7.44,7.38,7.406666667
129,SR,B,Dead,5/2024,1,RA,5.0738,10.1611,7.49,7.35,7.27,7.37
130,SR,B,Dead,5/2024,2,RA,5.011,10.6899,7.31,7.29,7.27,7.29
131,SR,C,Dead,5/2024,1,RA,5.0983,10.4698,6.74,6.68,6.66,6.693333333
132,SR,C,Dead,5/2024,2,RA,5.0104,10.1478,6.69,6.65,6.55,6.63
133,SR,A,Interspace,5/2024,1,RA,5.0346,10.2257,7.17,7.09,7.06,7.106666667
134,SR,A,Interspace,5/2024,2,RA,5.0294,10.4851,7.04,7.09,7.03,7.053333333
135,SR,B,Interspace,5/2024,1,RA,5.0123,9.9975,7.78,7.74,7.73,7.75
136,SR,B,Interspace,5/2024,2,RA,4.9915,10.152,7.75,7.75,7.74,7.746666667
137,SR,C,Interspace,5/2024,1,RA,5.0461,10.0449,6.45,6.39,6.36,6.4
138,SR,C,Interspace,5/2024,2,RA,5.0372,10.6836,6.42,6.35,6.32,6.363333333
139,SR,A,Live Rhizosphere,5/2024,1,RA,5.2006,10.074,7.48,7.45,7.41,7.446666667
140,SR,A,Live Rhizosphere,5/2024,2,RA,5.1592,10.4771,7.68,7.67,7.6,7.65
141,SR,B,Live Rhizosphere,5/2024,1,RA,5.042,10.3196,7.25,7.2,7.17,7.206666667
142,SR,B,Live Rhizosphere,5/2024,2,RA,5.1507,10.4677,7.22,7.11,7.15,7.16
143,SR,C,Live Rhizosphere,5/2024,1,RA,5.1888,13.285,6.98,6.53,6.36,6.623333333
144,SR,C,Live Rhizosphere,5/2024,2,RA,5.007,10.398,6.51,6.41,6.45,6.456666667
145,TI,B,Dead,5/2024,2,SF,5.007,10.0091,7.55,7.56,7.57,7.56
146,TI,C,Dead,5/2024,1,SF,5.0681,10.0693,7.28,7.3,7.29,7.29
147,TI,C,Dead,5/2024,2,SF,5.0031,10.0625,7.33,7.3,7.31,7.313333333
148,TI,A,Interspace,5/2024,1,HL,5.0657,10.14773,7.19,7.28,7.32,7.263333333
149,TI,A,Interspace,5/2024,2,HL,5.1897,10.2957,7.29,7.37,7.41,7.356666667
150,TI,B,Interspace,5/2024,1,HL,5.1434,10.2608,7.44,7.52,7.56,7.506666667
151,TI,B,Interspace,5/2024,2,HL,5.0161,10.1108,7.45,7.5,7.52,7.49
152,TI,C,Interspace,5/2024,1,HL,5.0025,10.1834,6.96,7.02,7.03,7.003333333
153,TI,C,Interspace,5/2024,2,HL,5.001,10.0897,7.04,7.08,7.1,7.073333333
154,TI,A,Live Rhizosphere,5/2024,1,SF,5.0482,10.053,7.58,7.6,7.64,7.606666667
155,TI,B,Live Rhizosphere,5/2024,1,RA,4.9529,10.2666,7.34,7.33,7.35,7.34
156,TI,C,Live Rhizosphere,5/2024,1,RA,5.0143,10.0005,7.59,7.6,7.6,7.596666667
157,OH,A,Dead,5/2024,1,SF/HL,5.0564,10.0955,5.85,5.9,5.93,5.893333333
158,OH,A,Dead,5/2024,2,SF/HL,5.07,10.4528,5.95,5.98,5.99,5.973333333
159,OH,B,Dead,5/2024,1,SF/HL,5.0008,10.0413,6.01,6.04,6.06,6.036666667
160,OH,B,Dead,5/2024,2,SF/HL,5.0784,10.1278,6,6.01,6.02,6.01
161,OH,C,Dead,5/2024,1,HL,5.093,10.2459,5.8,5.85,5.87,5.84
162,OH,C,Dead,5/2024,2,HL,5.0009,10.0799,5.86,5.9,5.92,5.893333333
163,OH,A,Interspace,5/2024,1,HL,5.0638,10.1478,6.24,6.28,6.31,6.276666667
164,OH,A,Interspace,5/2024,2,HL,5.0444,10.0841,6.28,6.33,6.35,6.32
165,OH,B,Interspace,5/2024,1,HL,5.0325,10.0678,5.91,5.94,5.94,5.93
166,OH,B,Interspace,5/2024,2,HL,5.1313,10.2823,5.92,5.94,5.94,5.933333333
167,OH,C,Interspace,5/2024,1,HL,5.0459,10.0839,5.89,5.94,5.97,5.933333333
168,OH,C,Interspace,5/2024,2,HL,5.1049,10.2284,5.96,5.99,6.01,5.986666667
169,OH,A,Live Rhizosphere,5/2024,1,HL,5.108,10.2932,6.38,6.42,6.43,6.41
170,OH,A,Live Rhizosphere,5/2024,2,HL,5.0355,10.1629,6.31,6.37,3.4,5.36
171,OH,B,Live Rhizosphere,5/2024,1,SF,5.005,10.0188,6.38,6.5,6.48,6.453333333
172,OH,B,Live Rhizosphere,5/2024,2,SF,5.0028,10.0135,6.48,6.43,6.41,6.44
173,OH,C,Live Rhizosphere,5/2024,1,SF,5.0109,10.0104,6.36,6.45,6.46,6.423333333
174,OH,C,Live Rhizosphere,5/2024,2,SF,5.0229,10.0579,6.42,6.42,6.43,6.423333333
175,TI,A,Live Rhizosphere,5/2024,2,SF,5.0223,10.012,7.62,7.61,7.6,7.61
176,TI,B,LIve Rhizosphere,5/2024,2,RA,5.0941,10.1803,7.32,7.33,7.24,7.296666667
177,TI,C,LIve Rhizosphere,5/2024,2,RA,5.0431,10.3967,7.51,7.56,7.5,7.523333333
178,TI,A,Dead,5/2024,1,SF,5.0709,10.1444,7.39,7.43,7.37,7.396666667
179,TI,A,Dead,5/2024,2,SF,4.9997,10.0388,7.36,7.32,7.32,7.333333333
180,TI,B,Dead,5/2024,1,SF,5.0508,10.0973,7.55,7.55,7.57,7.556666667
